cholesterol,diabetes,smoking,obesity,inactive,lesshighschool,gini,poverty,asian,black,age65,hisp,male,marri,racialseg,socialvul,large central metro,large fringe metro,medium/small metro,nonmetro,outpatientcost
40.1,19.2,22.8,33.4,33.4,11,0.449,17.8,0.3,21.9,20.6,1.5,48.319431,55.691059,0.47999999,0.63059998,0,0,1,0,3494
40.8,13.8,24.3,30.2,35.8,13.8,0.424,17.4,2.1,1.3,19.8,2.9,49.275429,56.068424,0.38999999,0.80449998,0,0,0,1,5097
35.3,13.6,22,40.9,30.7,10.9,0.416,10.7,1,5.6,13.2,4.4,49.204445,58.104012,0.38,0.33090001,0,0,1,0,2974
41,10,24.6,30.8,27.9,19.4,0.477,16.4,1.7,0,18.9,5.7,49.558941,56.773849,0.36000001,0.65350002,0,0,1,0,2242
43.4,9.8,23.4,26.8,27,13.5,0.442,16.3,0.8,0.4,28.1,2.3,48.306629,55.961731,0.37,0.51749998,0,0,0,1,3821
37.2,10.8,24.3,39,30.9,13.5,0.466,14.1,0.4,24.6,16.4,3.3,49.042965,48.99007,0.43000001,0.91240001,0,0,1,0,2770
37.9,16.9,26.4,42.9,35.1,18.9,0.473,23,0.6,33.7,14.5,4.1,48.511608,44.909962,0.47999999,0.95539999,0,0,0,1,3718
41.9,15.8,25.9,43,30.8,21.1,0.456,25.5,0.4,42.9,22.8,0.6,46.921986,44.733219,0.55000001,0.85159999,0,0,0,1,3798
43.3,6.2,23.6,24.9,24.5,20.2,0.454,19.9,0.4,0.2,26.8,4.3,50.03352,60.097034,0.41999999,0.69999999,0,0,0,1,2870
40.2,12.3,23.9,43,45.3,9.6,0.409,24.1,0,34.5,20.3,0,50.736439,47.609211,0.50999999,0.88410002,0,0,0,1,3886
42.8,8.6,22.8,39.8,25.6,13.5,0.431,18.1,1.4,0,25.5,0.4,49.513569,51.171635,0.38,0.28150001,0,0,0,1,3054
40.2,15.9,23.6,40.9,32,14,0.458,17.3,0,41.4,19.6,2.3,47.717163,48.703053,0.46000001,0.86559999,0,0,0,1,3603
40.3,9.9,23.5,36.5,27.2,15.2,0.413,16.5,0,0.5,19.9,2.9,49.946884,56.567448,0.41999999,0.63599998,0,0,1,0,3324
39.8,17.8,25.4,44.9,34.7,19.7,0.494,33.3,0,63.1,18.1,1.8,46.963345,44.786747,0.47999999,0.92390001,0,0,0,1,3213
39.9,14.7,23.5,29.2,29.8,12.6,0.448,16.9,0.4,4,20.2,6.5,49.386391,60.613956,0.50999999,0.71240002,0,0,0,1,3495
39.9,19.7,26.4,41.1,31.3,19.7,0.429,23.1,0,4.5,17.8,3,48.727821,52.806297,0.47,0.82679999,0,0,1,0,3252
42.4,11.3,23.1,36.1,27.3,15.1,0.492,20.2,0.2,0.4,22.4,6.5,48.37265,57.755188,0.44999999,0.89490002,0,0,0,1,3336
36.5,13.6,22.4,35,28.4,15.5,0.47,16.9,1,2.9,15.3,9,49.13662,48.848732,0.31999999,0.79360002,0,0,0,1,3445
41.5,10.4,22.6,36,49.8,16.8,0.458,15,0.2,12.4,23.4,1.7,50.006107,58.142941,0.60000002,0.6548,0,0,0,1,3349
35.1,11.2,18.4,33.9,26,9.6,0.509,14.6,2.2,36.6,15,6.1,47.814449,45.298412,0.37,0.62870002,0,0,1,0,3142
40.4,14.2,25.7,33.5,35.6,17.1,0.476,17.3,0.4,1,19.9,2,49.951965,56.260899,0.41,0.7166,0,0,0,1,4257
37.2,14.2,27.1,48.4,30.1,18.1,0.491,32,0.7,53.1,16.1,5.1,54.416988,41.359287,0.44,0.9691,0,0,0,1,3162
37.2,9.2,19.9,30.2,25.3,9.4,0.399,9.6,1.3,7,17.5,4.7,49.048279,56.126789,0.31,0.33250001,0,0,1,0,3517
